REGIONS,DIVISION,GROUP OF STATES,TYPEHUQ,Climate_Region_Pub,YEARMADERANGE,NHSLDMEM,NUMFRIG,TVCOLOR,EMPLOYHH,SPOUSE,KWH TOTAL,KWH HEAT,KWH AIRCON,KWH WATER HEAT,KWH REFRIDGE,KWH OTHER,DOLLAR TOTAL,DOLLAR HEAT,DOLLAR AIRCON,DOLLAR WATER,DOLLAR REFRIDGE,DOLLAR OTHER
3,5,16,4,3,6,3,1,1,1,1,13644,1788.865,1970.304,3341.326,726.28,5817.226,1790,234.687,258.49,438.359,95.283,763.18
2,4,10,5,1,4,2,1,2,1,1,4693,2001.463,50.03,1055.805,458.784,1126.918,506,215.798,5.394,113.837,49.466,121.504
1,1,2,5,1,1,2,1,2,0,1,4010,0,0,0,865.626,3144.374,654,0,0,0,141.177,512.823
4,8,22,5,1,5,1,1,2,0,0,1781,0,80.383,0,366.343,1334.274,271,0,12.216,0,55.676,202.779
4,10,27,2,1,3,6,2,2,0,1,35091,6802.936,0,7837.572,2997.762,17452.73,2635,510.836,0,588.527,225.103,1310.534
4,10,26,2,2,2,3,1,2,0,1,3149,1165.506,0,0,399.554,1583.94,316,116.958,0,0,40.095,158.947
3,6,19,2,4,4,3,2,4,1,1,18212,1011.653,3888.198,2720.828,2428.869,8162.452,1698,94.322,362.517,253.677,226.456,761.028
1,1,2,5,1,6,1,1,2,0,0,4501,0,611.814,0,652.267,3236.919,750,0,101.946,0,108.687,539.367
3,5,17,2,3,6,2,1,2,1,0,10114,1071.483,3032.176,1362.996,587.46,4059.885,1131,119.819,339.074,152.417,65.693,453.997
4,10,26,5,2,5,2,1,2,1,0,8936,1720.074,2033.919,0,1103.968,4078.039,1558,299.897,354.616,0,192.478,711.01
4,10,26,2,5,4,2,2,2,1,1,8604,607.736,0,1661.414,1142.978,5191.872,1684,118.948,0,325.177,223.707,1016.168
3,7,21,2,3,5,1,1,3,0,0,23981,1584.35,9669.535,2295.706,1674.517,8756.892,2259,149.245,910.866,216.255,157.739,824.895
3,5,15,2,4,2,2,1,1,0,0,7038,1056.302,0,0,806.026,5175.672,531,79.695,0,0,60.813,390.492
